State,StarDiff
TAS, 0.1
TAS, 0.1
TAS, 0.1
TAS,-0.1
TAS, 0.0
TAS, 0.2
TAS,-0.1
TAS, 0.1
TAS, 0.1
TAS, 0.2
TAS, 0.3
TAS, 0.1
TAS, 0.1
TAS, 0.1
TAS, 0.1
TAS, 0.1
TAS, 0.0
TAS, 0.4
TAS, 0.3
TAS, 0.0
TAS, 0.3
TAS, 0.3
TAS, 0.5
TAS, 0.5
TAS, 0.2
TAS,-0.2
TAS,-0.1
TAS, 0.5
QLD, 0.1
QLD, 0.2
QLD, 0.2
QLD, 0.0
QLD, 0.1
QLD,-0.2
QLD, 0.2
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD, 0.1
QLD, 0.1
QLD, 0.1
QLD, 0.0
QLD, 0.1
QLD, 0.0
QLD,-0.5
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD, 0.0
QLD,-0.1
QLD, 0.0
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD,-0.1
QLD,-0.3
QLD,-0.1
QLD,-0.1
QLD, 0.0
QLD,-0.2
QLD, 0.2
QLD,-0.1
QLD,-0.2
QLD, 0.0
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD,-0.3
QLD, 0.0
QLD,-0.3
QLD, 0.0
QLD, 0.1
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD, 0.0
QLD,-0.2
QLD,-0.1
QLD, 0.0
QLD, 0.2
QLD, 0.0
QLD,-0.2
QLD, 0.0
QLD,-0.1
QLD,-0.1
QLD, 0.0
QLD,-0.2
QLD,-0.1
QLD,-0.3
QLD,-0.3
QLD,-0.1
QLD,-0.1
QLD,-0.3
QLD,-0.3
QLD,-0.2
QLD,-0.3
QLD,-0.1
QLD,-0.2
QLD, 0.0
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD,-0.1
QLD,-0.2
QLD,-0.1
QLD,-0.2
QLD,-0.2
QLD,-0.1
QLD, 0.0
QLD,-0.1
QLD,-0.1
QLD, 0.0
QLD, 0.1
QLD,-0.1
QLD, 0.0
QLD,-0.1
QLD,-0.2
QLD,-0.1
QLD, 0.1
QLD,-0.2
QLD, 0.0
QLD,-0.1
QLD, 0.0
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD,-0.2
QLD,-0.1
QLD,-0.2
QLD, 0.5
QLD, 0.1
QLD,-0.2
QLD,-0.1
QLD,-0.1
QLD, 0.2
QLD,-0.3
QLD,-0.2
QLD, 0.0
QLD,-0.2
QLD,-0.2
QLD,-0.1
QLD,-0.2
