Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
370,     QLD,4225,18,10,5.3,         Exposed,NA,24.57,21.09,7.81,199.65,166.6,103.4,0,0,0,0,133,1,3.7,1,3,1,2
371,     QLD,4225,18,10,4.9,         Exposed,NA,34.11,17.31,7.41,196.65,163.6,100.4,0,0,0,0,71,1,3.7,1,3,1,2
372,     QLD,4225,18,10,6.2,         Exposed,NA,21.8,12.58,5.88,241.5,207,45.25,0,0,0,19.3,80,0.2,6.7,1,4,2,3
373,     QLD,4213,16,10,5.6,        Suburban,NA,17.27,17.3,7.67,337,287,337,0,0,0,0,0,0.01,0.1,1,4,0,1
374,     QLD,4216,16,10,6.3,        Suburban,NA,20.06,16.24,6.06,182.8,191.3,133.6,0,0,0,0,0,0.1,3,1,4,1,2
375,     QLD,4170,17,10,5.2,        Suburban,NA,24.72,25.83,7.96,164.7,132.7,83.9,0,0,0,0,0,0.15,2.85,1,3,1,2
376,     QLD,4170,17,10,6.2,        Suburban,NA,20.43,22.05,6.82,125.95,109.95,65.5,0,0,0,0,31,0.15,2.85,1,3,1,2
377,     QLD,4561,16,10,8.2,        Suburban,NA,12.15,18.7,6.77,39.1,39.1,0,4000,40,0,0,0,0.6,0.6,1,2,0,1
378,     QLD,4561,16,10,7.6,        Suburban,NA,22.38,6.37,3.56,147.9,147.9,0,17500,175,0,0,0,1.5,1.5,1,2,0,1
379,     QLD,4561,16,10,7.7,            Open,NA,23.24,4.83,2.54,147.9,147.9,0,17500,175,0,0,0,1.5,1.5,1,2,0,1
380,     QLD,4561,16,10,8.6,            Open,NA,12.95,14.17,5.57,39.1,39.1,0,4000,40,0,0,0,0.6,0.6,1,2,0,1
