Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
203,     QLD,4102,15,10,8.5,            Open,NA,5.19,10.41,6.22,68.49,68.49,0,0,0,68.49,68.49,196,9.2,9.2,1,2,3,1
204,     QLD,4102,15,10,7.7,            Open,NA,11.1,11.61,7.67,65.44,65.44,0,0,0,65.44,65.44,184,9.2,9.2,1,2,3,1
205,     QLD,4102,15,10,7.6,            Open,NA,7.74,15.29,8.44,74.93,74.93,0,0,0,74.93,74.95,186,9.2,9.2,1,2,3,1
206,     QLD,4102,15,10,7.4,            Open,NA,12.29,12.43,8.69,65.3,65.3,0,0,0,65.3,65.3,153,9.2,9.2,1,2,3,1
207,     QLD,4102,15,10,7.3,            Open,NA,21.89,10.74,5.22,70.65,70.65,0,0,0,70.65,0,101,12.1,12.1,1,2,4,1
208,     QLD,4102,15,10,6.7,            Open,NA,19.73,15.34,7.66,65.44,65.44,0,0,0,65.44,0,120,12.1,12.1,1,2,4,1
209,     QLD,4102,15,10,7.4,            Open,NA,20.02,10.61,5.21,68.49,68.49,0,0,0,68.49,0,129,12.1,12.1,1,2,4,1
210,     QLD,4102,15,10,6.2,            Open,NA,19.48,20.79,8.12,74.93,74.93,0,0,0,74.93,0,111,12.1,12.1,1,2,4,1
211,     QLD,4102,15,10,6,            Open,NA,19.55,21.69,10.79,65.3,65.3,0,0,0,65.3,0,87,12.1,12.1,1,2,4,1
212,     QLD,4103,16,10,4.1,        Suburban,NA,73.29,8.74,3.21,67,67,0,0,0,0,67,85,2.2,2.2,1,2,0,1
213,     QLD,4103,16,10,4,        Suburban,NA,67.37,15.32,4.14,66,66,0,0,0,0,66,84,2.2,2.2,1,2,0,1
214,     QLD,4103,16,10,5.4,        Suburban,NA,49.56,14.09,4.36,63,63,0,20000,200,0,0,71,4.64,4.64,1,2,1,1
215,     QLD,4103,16,10,6.3,        Suburban,NA,38.62,11.7,3.77,66,66,0,20000,200,0,0,85,4.64,4.64,1,2,1,1
216,     QLD,4103,16,10,6.3,        Suburban,NA,42.47,7.32,2.36,65.5,65.5,0,20000,200,11,0,105,4.64,4.64,1,2,1,1
217,     QLD,4031,17,10,6.3,        Suburban,NA,12.76,22.26,9.16,175.04,143.54,98.5,0,0,0,0,72,0.1,2.8,1,3,1,2
218,     QLD,4226,18,10,5.5,        Suburban,NA,19.32,27.7,6.04,156.1,142.1,97,0,0,0,0,60,0.2,2.75,3,3,0,2
219,     QLD,4213,17,10,3.8,            Open,NA,34.7,19.72,8.47,463.53,471,226,0,32,0,0,0,2,9.05,1,6,3,3
220,     QLD,4017,15,10,6.3,        Suburban,NA,22.49,11.27,5.97,259.5,215.5,259.5,0,0,0,0,0,0.1,0.1,1,4,0,1
221,     QLD,4218,18,10,5.3,            Open,NA,24.08,11.87,6.8,401.4,366.4,197.6,0,0,0,0,0,0.1,3.2,3,5,1,2
222,     QLD,4103,16,10,8.7,        Suburban,NA,9.01,12.73,3.92,69.5,69.5,0,0,0,69.5,0,119,4.64,4.64,1,2,1,1
223,     QLD,4103,16,10,6.9,        Suburban,NA,18.58,17.46,5.86,66,66,0,0,0,66,0,88,4.64,4.64,1,2,1,1
224,     QLD,4211,17,10,6.4,            Open,NA,28.12,20.21,5.56,71,71,0,0,0,0,0,0,0.7,0.7,1,2,0,1
225,     QLD,4218,16,10,6.4,            Open,NA,30.05,8.33,5.79,132.67,108.17,132.67,0,0,0,132.67,179,0.1,0.1,1,2,0,1
227,     QLD,4223,17,10,4.7,            Open,NA,45.17,15.16,4.36,197.7,157.7,64.2,0,0,0,0,0,0.25,3.15,1,2,1,2
228,     QLD,4215,17,10,3.9,        Suburban,NA,39,33.61,10.79,94.94,100.44,0,0,0,0,0,87,2.3,7.5,1,3,2,3
229,     QLD,4215,17,10,4.3,        Suburban,NA,33.05,37.23,10.08,93.19,98.44,0,0,0,0,0,46,2.3,7.5,1,3,2,3
230,     QLD,4215,17,10,5.4,        Suburban,NA,15.51,31.49,9.46,94.94,100.44,0,0,0,0,0,128,2.3,7.5,1,3,2,3
231,     QLD,4215,17,10,4.4,        Suburban,NA,25.14,37.03,11.36,97.19,102.44,0,0,0,0,0,92,2.3,7.5,1,3,2,3
232,     QLD,4215,17,10,4.2,        Suburban,NA,35.85,34.34,9.49,93.19,98.44,0,0,0,0,0,81,2.3,7.5,1,3,2,3
233,     QLD,4215,17,10,3.9,        Suburban,NA,38.5,34.52,10.94,94.94,100.44,0,0,0,0,0,82,2.3,7.5,1,3,2,3
234,     QLD,4223,17,10,6,            Open,NA,25.87,22.07,9.04,89,79,89,0,0,0,0,0,0.1,0.1,1,2,0,1
235,     QLD,4207,17,10,5,        Suburban,NA,15.81,26.13,8.51,313.35,264.92,313.35,0,0,0,0,0,0.1,0.1,2,4,0,1
236,     QLD,4207,17,10,5,        Suburban,NA,15.81,26.13,8.51,313.35,264.92,313.35,0,0,0,0,0,0.1,0.1,2,4,0,1
237,     QLD,4218,17,10,6.4,        Suburban,NA,14.58,13.88,6.79,344.2,287.91,344.2,0,0,0,0,0,4.85,5,2,4,1,1
238,     QLD,4221,17,10,6,            Open,NA,35.44,20.05,6.23,65.01,81.5,0,4000,40,0,0,0,0.75,3.19,1,1,1,2
239,     QLD,4210,17,10,5,            Open,NA,30.54,9.35,4.08,815.45,456.2,546.9,0,0,0,0,0,0.1,6.6,1,5,2,3
240,     QLD,4215,17,10,5.8,            Open,NA,30.81,12.94,5.06,191.24,169.14,45,0,132,0,0,0,0.1,3.3,1,3,1,2
241,     QLD,4221,17,10,5.6,        Suburban,NA,20.66,21,7.5,186.75,190.75,78.7,0,0,0,0,18,0.1,5.4,2,4,1,3
242,     QLD,4221,17,10,6.4,        Suburban,NA,7.93,18.37,7.51,335.3,338.8,191.17,0,0,0,0,24,0.1,5.5,2,5,1,3
243,     QLD,4007,17,10,6.2,        Suburban,NA,23.73,16.64,6.47,149.5,134.5,83,0,0,0,0,45,0.1,2.65,1,3,0,2
244,     QLD,4007,17,10,6.4,        Suburban,NA,17.56,19.18,7.38,152,134,84.5,0,0,0,0,52,0.1,2.65,1,3,0,2
245,     QLD,4007,17,10,5.2,        Suburban,NA,15.32,31.97,9.43,176,147,62,0,0,0,0,123,0.1,5.05,1,3,1,3
246,     QLD,4007,17,10,5.9,        Suburban,NA,26.44,14.8,7.29,174,143,98,0,0,0,0,48,0.1,2.8,1,3,1,2
247,     QLD,4007,17,10,5.5,        Suburban,NA,25.56,18.92,8.35,172.7,139,96,0,0,0,0,50,0.1,2.8,1,3,1,2
248,     QLD,4103,17,10,6.2,        Suburban,NA,24.8,20.13,7.59,101.5,84,55.5,0,0,0,0,31,0.1,2.8,1,3,1,2
